index	datetime	x_1_num	x_2_cat	x_3_txt	y_1_value	y_2_class	y_3_forecast	y_4_bin
57.00	16/07/2020 12:00	0.18	B	#beta #betalab #mg Ex-presidente da C‰mara: Justia su’a v 'ind’cios concretos' contraÉ https://t.co/fwuwi8S4oDÉ https://t.co/w1W2SaN172	0.17	B	0.56	positivo
58.00	16/07/2020 12:15	0.46	C	#beta #betalab #mg Governo em calamidade financeira: BB avisa Justia que Minas n‹o temÉ https://t.co/CdXt0cvcuYÉ https://t.co/s8un5iFnQS	0.46	A	1.02	negativo
59.00	16/07/2020 12:30	0.47	A	#beta #betalab #mg Mais sobre o massacre: PF: Fac‹o tinha 'cela de comando' dentro da pris‹oÉ https://t.co/W3Cr89L0dk	0.46	C	1.17	positivo
60.00	16/07/2020 12:45	0.71	D	#beta #betalab #mg Marketing e veto a medidas de Paes: De doa‹o de sangue a capoeira: a 1»ÉÉ https://t.co/xPnt6omym6	0.65	B	1.65	negativo
61.00	16/07/2020 13:00	0.98	C	#beta #betalab #mg Massacre em pres’dio de Manaus: Governo do AM rebate ministro da Justia eÉ https://t.co/MaBb4airMU #timbeta #rt #brasil	0.82	A	2.31	positivo
62.00	16/07/2020 13:15	0.18	D	#beta #betalab #mg Mudanas propostas pelo governo: Reforma libera trabalhar 12 horas algunsÉÉ https://t.co/eIDgx5Ak3n	0.19	C	0.86	negativo
63.00	16/07/2020 13:30	0.40	B	"#beta #betalab #mg Muitas p‡ginas de investiga‹o: ""QG"" da Lava Jato reœne mais de 30 milh›esÉÉ https://t.co/pQF48BKPMr"	0.38	A	0.90	positivo
64.00	16/07/2020 13:45	0.13	A	#beta #betalab #mg Nos œltimos dois anos: Governo pagou R$ 2.4 bi a alvos da Lava Jato https://t.co/KN8C0LcRebÉ https://t.co/GDQVhjO1Hc	0.14	B	0.46	negativo
65.00	16/07/2020 14:00	0.41	C	#beta #betalab #mg Nova chacina em pres’dio: PCC matou presos sem fac‹o. diz governo de RR https://t.co/e17QVKbWVVÉ https://t.co/HJinQ9Y8aT	0.39	C	0.88	positivo
66.00	16/07/2020 14:15	0.06	B	#beta #betalab #mg Onda de violncia nos pres’dios: Governo de Roraima divulga lista oficialÉÉ https://t.co/HLcGf3UtCx	0.05	A	0.33	negativo
67.00	16/07/2020 14:30	0.17	A	#beta #betalab #mg Pede respeito aos direitos dos detentos: Defensoria Pœblica da Uni‹o vai aoÉÉ https://t.co/kKbLNKRXfi	0.18	A	0.38	positivo
68.00	16/07/2020 14:45	0.29	B	#beta #betalab #mg Pedido ao STF irritou Meirelles: Governo ameaa suspender aval paraÉ https://t.co/cHJbFIKAOYÉ https://t.co/uSTdKS5mCn	0.28	B	0.67	negativo
69.00	16/07/2020 15:00	0.11	C	#beta #betalab #mg Reforma no poder da Venezuela: Maduro nomeia novo vice-presidente e trocaÉÉ https://t.co/BPMWBODUM2	0.10	A	0.37	positivo
70.00	16/07/2020 15:15	0.62	A	#beta #betalab #mg Revista encontra armas e drogas: Rifle. 42 facas e roteador s‹o achados emÉÉ https://t.co/TlIOyQeKb0	0.57	C	1.29	negativo
71.00	16/07/2020 15:30	0.15	D	#beta #betalab #mg Rio reforou Opera‹o Praia: S‡bado de calor tem confus‹o e roubo nasÉ https://t.co/TwU41FTyfqÉ https://t.co/fSPlWFWWVo	0.16	B	0.60	positivo
72.00	16/07/2020 15:45	0.33	C	#beta #betalab #mg Segundo agentes penitenci‡rios: Pres’dios do RJ est‹o em alerta desdeÉ https://t.co/jODEM3J6Y4É https://t.co/gLMfJEuCNS	0.32	A	0.73	negativo
73.00	16/07/2020 16:00	0.32	D	#beta #betalab #mg 'Tinha que matar mais': Secret‡rio de Temer deixa cargo ap—s dizer queÉ https://t.co/ZZm1TCutjzÉ https://t.co/OoJJ3GcokW	0.32	C	0.80	positivo
74.00	16/07/2020 16:15	0.42	B	#beta #betalab #mg UOL Confere a crise prisional: Gest‹o privada de pres’dio n‹o eximeÉ https://t.co/dj5fy2PIwiÉ https://t.co/wCmH4Qhxt7	0.41	A	1.00	negativo
75.00	16/07/2020 16:30	0.77	A	#beta #betalab #mg UOL Confere: Governo Temer distorce dados econ™micos em propaganda de 120ÉÉ https://t.co/w4dzb3AgfT	0.71	B	1.75	positivo
76.00	16/07/2020 16:45	0.30	C	#BRASILest‡CHEIOdeMAMÌEsouFODA #METADEdoBRASILpertenceaosPOLêTICOSaoutraŽdosBANCOSeEMPRESçRIOS	0.31	C	1.00	negativo
77.00	16/07/2020 17:00	0.18	B		0.19	A	0.51	positivo
78.00	16/07/2020 17:15	0.02	A	#brasilmetropole Saœde mantŽm estado de aten‹o e investiga casos de febre amarela https://t.co/HAq4OMqMJK	0.01	A	0.14	negativo
79.00	16/07/2020 17:30	0.36	B	#Cidades Com a alta incidncia. a Secretaria de Estado de Saœde mantŽm alerta para moradores e visitantes de 15... https://t.co/qsntM0quLy	0.35	B	0.73	positivo
80.00	16/07/2020 17:45	0.23	C	#COPINHANAREDEVIDA  Eu e meu pai ligado na copinha pela Rede Vida! SOMOS DE GOVERNADOR VALADARES MG	0.24	A	0.65	negativo
81.00	16/07/2020 18:00	0.72	A	"#DefesaAgropecu‡ria ""Governo de Minas Gerais aposta nos Arranjos Produtivos Locais"" na #RITDA: https://t.co/FzwaAJbcsw"	0.65	C	1.56	positivo
82.00	16/07/2020 18:15	0.07	D	#EBC Governo de Minas investiga casos suspeitos de febre amarela e mal‡ria no estado https://t.co/SQIpvlLbvY	0.08	B	0.51	negativo
83.00	16/07/2020 18:30	0.94	C	#Educa‹oMG Governo de Minas Gerais reconhece Folias de Reis como Patrim™nio Imaterial do Estado.É https://t.co/YvVFinjaLL	0.81	A	1.91	positivo
84.00	16/07/2020 18:45	0.29	D	#ForaMichael O atacante Michael sofreu um traumatismo craniano ap—s colidir com uma vaca em Minas e est‡ em estadoÉ https://t.co/dja4NqF1ZD	0.30	C	1.06	negativo
85.00	16/07/2020 19:00	0.15	B	#holachilevierneschico jajaja los wns preparados. nada al azar #califa las minas abran estado tan buenas.como para haber asumido el riesgo?	0.15	A	0.45	positivo
86.00	16/07/2020 19:15	0.65	A	#i5gornascimento @i5gornascimento @cristiano UFJF abre 62 vagas para cursos em Governador Valadares https://t.co/NnA9YFp4BP	0.61	B	1.37	negativo
87.00	16/07/2020 19:30	0.51	C	#i5gornascimento @i5gornascimento g1 Corpo em estado de decomposi‹o Ž encontrado em Poos de Caldas. MG https://t.co/ndVVD6kdly	0.49	C	1.35	positivo
88.00	16/07/2020 19:45	0.61	B	#i5gornascimento @i5gornascimento g1 Prefeito de AimorŽs decreta estado de emergncia administrativa https://t.co/0Jh7ARbSnk	0.59	A	1.48	negativo
89.00	16/07/2020 20:00	0.13	A	#i5gornascimento @i5gornascimento g1 Vereadores de Governador Valadares n‹o ter‹o 13¼ sal‡rio em 2017 https://t.co/9dJnmDxEAI	0.13	A	0.57	positivo
90.00	16/07/2020 20:15	0.81	B	#i5gornascimento @i5gornascimento Governador Valadares registra dois assassinatos em menos de uma hora https://t.co/ZcuZugp8dq	0.71	B	1.68	negativo
91.00	16/07/2020 20:30	0.78	C	#i5gornascimento @i5gornascimento UFJF abre 62 vagas para cursos em Governador Valadares https://t.co/FYeEFvieCy	0.69	A	1.97	positivo
92.00	16/07/2020 20:45	0.04	A	#ImpeachmentPimentel #PTNuncaMais 	0.04	C	0.47	negativo
93.00	16/07/2020 21:00	0.91	D		0.78	B	1.84	positivo
94.00	16/07/2020 21:15	0.55	C	#ImpeachmentPimentel #PTNuncaMais #ForaPT #ForaPCdoB #ForaPSOL #ForaRede 	0.54	A	1.56	negativo
95.00	16/07/2020 21:30	0.34	D		0.33	C	0.96	positivo
96.00	16/07/2020 21:45	0.80	B	#Janeiro. #PartiuFerias. GOVERNADOR VALADARES/MG. Pousada Vale Silvestre EcoPark. Comprar: https://t.co/rNRqRFbUeMÉ https://t.co/2UyZ6Ojdp7	0.70	A	1.76	negativo
97.00	16/07/2020 22:00	0.89	A	#Janeiro. #PartiuFerias. GOVERNADOR VALADARES/MG. Pousada Vale Silvestre EcoPark. Comprar: https://t.co/rNRqRFbUeMÉ https://t.co/qw78x6qm7k	0.78	B	2.18	positivo
98.00	16/07/2020 22:15	0.64	C	#jornaldacultura	0.61	C	1.73	negativo
99.00	16/07/2020 22:30	0.55	B		0.53	A	1.42	positivo
100.00	16/07/2020 22:45	0.79	A	#METADEdoBRASILpertenceaosPOLêTICOSaoutraŽdosBANCOSeEMPRESçRIOS  Politica - Estado de Minas https://t.co/usvOMucmuq	0.72	A	1.87	negativo
101.00	16/07/2020 23:00	0.59	B	#Microsoft  #lumia galera hj descobrir que aqui n estado do rio de janeiro n tem autorizada .(S.PAULO E MINAS ) NAO COMPREI WINDOWS PHONE	0.55	B	1.58	positivo
102.00	16/07/2020 23:15	0.46	C	#M’dia:  Press Release from Business Wire : Consumer Technology ... - Estado de Minas https://t.co/FGoxtwksdM	0.45	A	1.21	negativo
103.00	16/07/2020 23:30	0.43	A	#M’dia:  Press Release from Business Wire : Digital Living Network Alliance - Estado de Minas https://t.co/wj7wMchv8S	0.40	C	1.08	positivo
104.00	16/07/2020 23:45	0.16	D	#M’dia:  Press Release from Business Wire : IBC - Estado de Minas https://t.co/Uy5QuJo8wx	0.15	B	0.53	negativo
105.00	17/07/2020 00:00	0.87	C	#MINAS Postos dos Sine oferecem mais de 1.500 vagas de emprego no estado https://t.co/ZTrZ8MGrRp #Trabalho #Emprego #MG #Oportunidades	0.77	A	1.82	positivo
106.00	17/07/2020 00:15	0.18	D	#Minas vai dobrar oferta de trabalho e estudo nos #pres’dios do Estado	0.18	C	0.80	negativo
107.00	17/07/2020 00:30	0.67	B		0.61	A	1.44	positivo
108.00	17/07/2020 00:45	0.55	A	#Minas vai dobrar oferta de trabalho e estudo nos #pres’dios do Estado	0.51	B	1.44	negativo
109.00	17/07/2020 01:00	0.12	C		0.12	C	0.51	positivo
110.00	17/07/2020 01:15	0.91	B	#Mortalidade por c‰ncer cai 25% em 25 anos nos Estados Unidos - Estado de Minas https://t.co/fsZg1D8WCL	0.78	A	1.89	negativo
111.00	17/07/2020 01:30	0.28	A	#musicagratis Funda‹o Hospitalar do Estado de Minas Gerais (FHEMIG): A Funda‹o HospitalarÉÉ https://t.co/JXxZCenikX	0.26	A	1.01	positivo
112.00	17/07/2020 01:45	0.50	B	#musicagratis MinistŽrio Pœblico de Minas Gerais (Arax‡): O MinistŽrio Pœblico do Estado deÉÉ https://t.co/4WqHRHwxOg	0.48	B	1.14	negativo
113.00	17/07/2020 02:00	0.42	C	#musicagratis Prefeitura de Rodeiro: A Prefeitura de Rodeiro. no Estado de Minas Gerais.É https://t.co/kdGlkcQKcGÉ https://t.co/NyF4ZQiZqm	0.41	A	1.08	positivo
114.00	17/07/2020 02:15	0.52	A	#noticiasdorenan Em calamidade financeira. governo de MG compra dois helic—pteros: OÉ https://t.co/oW6G9hElta	0.50	C	1.25	negativo
115.00	17/07/2020 02:30	0.97	D	#noticiasdorenan Governo de Minas Gerais reconhece Folias de Reis como Patrim™nio ImaterialÉ https://t.co/AL18Rr45X3	0.81	B	2.20	positivo
116.00	17/07/2020 02:45	0.24	C	#noticiasdorenan Uso de dep—sitos judiciais pelo governo tem nova polmica em MG: O BancoÉ https://t.co/kHuZpKQaj5	0.23	A	0.97	negativo
117.00	17/07/2020 03:00	0.69	D	#OperacaoBetaLab #TimBeta #Beta #BetaLab #BetaAjudaBeta #BetaSegueBeta UOL: Desastre ambiental em MG: Empresas pedÉ https://t.co/kwyeKjhtcI	0.63	C	1.50	positivo
118.00	17/07/2020 03:15	0.93	B	#OperacaoBetaLab #TimBeta #Beta #BetaLab #BetaAjudaBeta #BetaSegueBeta UOL: Governo em calamidade financeira: BB aÉ https://t.co/1rWaHUACqt	0.79	A	2.21	negativo
119.00	17/07/2020 03:30	0.54	A	#OperacaoBetaLab #TimBeta #Beta #BetaLab #BetaAjudaBeta #BetaSegueBeta UOL: Polmica com filho de Pimentel: GovernÉ https://t.co/E1EhSA9Ti3	0.52	B	1.54	positivo
120.00	17/07/2020 03:45	0.23	C	#operacaobetalab BB avisa Justia que governo de MG n‹o tem recursos em conta judicial https://t.co/W6AoFMMsvA #rt #sdv	0.22	C	0.72	negativo
121.00	17/07/2020 04:00	0.79	B	#PedroMotta visita as mem—rias da inf‰ncia na sŽrie #FrutosEstranhos da exposi‹o #EstadodaNatureza ð Visite:É https://t.co/Fti430VnjI	0.72	A	1.69	positivo
122.00	17/07/2020 04:15	0.49	A	#petralha no governo Ž isso ai! Mesmo em calamidade financeira. governo de MG compra mais dois helic—pteros https://t.co/ZR9N6Gl0KW	0.47	A	1.38	negativo
123.00	17/07/2020 04:30	0.22	B	#pmdb #pt #tj #tjmg #almg #psdb #pdt O FILHO ACHOU O OUTRO VELHO Em calamidade financeira MG compra 2 helic—pteros https://t.co/SXfamLNCqd	0.21	B	0.70	positivo
124.00	17/07/2020 04:45	0.74	C	#prŽ_hospitalar homem estado alterado de conscincia dificuldade respirat—ria press‹o elevada em supermercado no b s‹o benedito av brasilia	0.66	A	1.58	negativo
125.00	17/07/2020 05:00	0.69	A	#pt #pmdb #pdt #tj #tjmg #stf #almg #pp MAIS UMA DELE ... #BB cobra de Minas R$ 1.5 bilh‹o em dep—sitos judiciais https://t.co/yPWflY0U5f	0.65	C	1.76	positivo
126.00	17/07/2020 05:15	0.93	D	#road #trip #mg #car #gopro @ Governador Valadares. Minas Gerais https://t.co/v6LZ557K6d	0.80	B	2.21	negativo
127.00	17/07/2020 05:30	0.90	C	#SomosTodosMoro 	0.77	A	2.27	positivo
128.00	17/07/2020 05:45	0.79	D		0.71	C	2.03	negativo
129.00	17/07/2020 06:00	0.52	B		0.51	A	1.44	positivo
130.00	17/07/2020 06:15	0.50	A	#Supercluster #Oracle (@ Secretaria de Estado da Fazenda in Belo Horizonte. MG) https://t.co/Raj2oJz8tq	0.49	B	1.26	negativo
131.00	17/07/2020 06:30	0.71	C	#SUS Minas Gerais recebe recurso m‡ximo disponibilizado pelo Governo Federal para a›es da #Vigil‰nciaSanit‡riaÉ https://t.co/0OrT7R8gMO	0.65	C	1.67	positivo
132.00	17/07/2020 06:45	0.69	B	#SUS SES-MG convoca coletiva para falar da situa‹o da #FebreAmarela no estado @SaudeMG @GotasSalvadoras https://t.co/TEydsKsvnB	0.65	A	1.74	negativo
133.00	17/07/2020 07:00	0.87	A	#SUS SES-MG convoca coletiva para falar da situa‹o da #FebreAmarela no estado https://t.co/7RwhYPH1Oz https://t.co/lfICLTfvxZ	0.76	A	2.09	positivo
134.00	17/07/2020 07:15	0.55	B	#timbeta #globo Ap—s ser agredida. mulher atira contra homem em Governador Valadares https://t.co/LSQcIK1ugn #OperacaoBetaLab #Sigodevolta	0.51	B	1.53	negativo
135.00	17/07/2020 07:30	0.43	C	#timbeta #globo BB cobra restitui‹o de recursos por parte do governo de MG	0.42	A	1.12	positivo
136.00	17/07/2020 07:45	0.90	A	#timbeta #globo Corpo em estado de decomposi‹o Ž encontrado em Poos de Caldas. MG https://t.co/QIT9YlYMog #OperacaoBetaLab #Sigodevolta	0.78	C	2.00	negativo
137.00	17/07/2020 08:00	0.33	D	#timbeta #globo Defesa Civil de MG confirma 16» morte pela chuva no estado https://t.co/SYMRdMAXFX #OperacaoBetaLab #Sigodevolta	0.32	B	1.11	positivo
138.00	17/07/2020 08:15	0.07	C	#timbeta #globo Governador Valadares registra dois assassinatos em menos de uma hora https://t.co/888hGlseNv #OperacaoBetaLab #Sigodevolta	0.06	A	0.30	negativo
139.00	17/07/2020 08:30	0.10	D	#timbeta #globo Homem Ž morto a tiros ap—s deixar pres’dio em Governador Valadares https://t.co/ecLiHQp1VR #OperacaoBetaLab #Sigodevolta	0.10	C	0.23	positivo
140.00	17/07/2020 08:45	0.48	B	#timbeta #globo MG Ž o quarto estado a garantir o direito ˆ amamenta‹o em pœblico https://t.co/sCrrQLncHs #OperacaoBetaLab #Sigodevolta	0.45	A	1.02	negativo
141.00	17/07/2020 09:00	0.40	A	#timbeta #globo PM apreende armas usadas em homic’dio em Governador Valadares https://t.co/YEFA0XEdKB #OperacaoBetaLab #Sigodevolta	0.38	B	1.05	positivo
142.00	17/07/2020 09:15	0.77	C	#timbeta #globo Pol’cia Militar apreende 30 kg de maconha em Governador Valadares https://t.co/eK1qMAUL36 #OperacaoBetaLab #Sigodevolta	0.70	C	1.74	negativo
143.00	17/07/2020 09:30	0.71	B	#timbeta #globo Prefeito de AimorŽs decreta estado de emergncia administrativa https://t.co/0Z7GX9GBPM #OperacaoBetaLab #Sigodevolta	0.65	A	1.81	positivo
144.00	17/07/2020 09:45	0.51	A	#timbeta #globo Prefeito de Ribeir‹o das Neves decreta estado de calamidade financeira https://t.co/cyvkfwwslD #OperacaoBetaLab #SigodevolÉ	0.49	A	1.37	negativo
145.00	17/07/2020 10:00	0.23	B	#timbeta #globo Prefeitura de Uberl‰ndia decreta estado de calamidade financeira  https://t.co/whTppNXDOk #OperacaoBetaLab #Sigodevolta	0.21	B	0.71	positivo
146.00	17/07/2020 10:15	0.59	C	#timbeta #globo UFJF abre 62 vagas para cursos em Governador Valadares https://t.co/Fd8uVtW5bm #OperacaoBetaLab #Sigodevolta	0.54	A	1.29	negativo
147.00	17/07/2020 10:30	0.62	A	#timbeta #globo Vereadores de Governador Valadares n‹o ter‹o 13¼ sal‡rio em 2017 https://t.co/YA3HKtxvza #OperacaoBetaLab #Sigodevolta	0.58	C	1.53	positivo
148.00	17/07/2020 10:45	0.07	D	* #MG Y con tu Apellido tiro un Estado.. _ððððð	0.08	B	0.44	negativo
149.00	17/07/2020 11:00	0.44	C	*	0.44	A	0.92	positivo
150.00	17/07/2020 11:15	0.75	D		0.69	C	1.73	negativo
151.00	17/07/2020 11:30	0.41	B		0.39	A	1.20	positivo
152.00	17/07/2020 11:45	0.33	A		0.33	B	0.87	negativo
153.00	17/07/2020 12:00	0.33	C		0.33	C	0.84	positivo
154.00	17/07/2020 12:15	0.08	B		0.09	A	0.33	negativo
155.00	17/07/2020 12:30	0.79	A		0.70	A	1.62	positivo
156.00	17/07/2020 12:45	0.44	B		0.42	B	1.27	negativo
157.00	17/07/2020 13:00	0.73	C		0.67	A	1.67	positivo
158.00	17/07/2020 13:15	0.76	A		0.69	C	1.88	negativo
159.00	17/07/2020 13:30	0.63	D		0.59	B	1.65	positivo
160.00	17/07/2020 13:45	0.31	C		0.30	A	0.94	negativo
161.00	17/07/2020 14:00	0.49	D	@__MathLaham @1psicopatar @samuelcost4 n‹o sabia que o Estado de Minas existia em 1926. amigo...E detalhe:isso s— apareceu depois de 2011 rs	0.47	C	1.13	positivo
162.00	17/07/2020 14:15	0.71	B	@_pereiraclayton em Minas ta seu cu kkkkkk estou no mesmo estado q voc palhao ðð	0.65	A	1.66	negativo
